claim_id,section,entity,metric,grain,year,value,unit,comparator_year,comparator_value,change_value,change_unit,evidence_type,comparability,source,source_url,confidence,supports_hypothesis,conclusion_tag,notes
G5-012,2025_position,TikTok Shop Indonesia,gmv_estimate_usd,year x entity x metric,2025,13100000000,USD,2024,6215000000,6885000000,USD,OBSERVED,CONDITIONAL,Digital in Asia / Kompas citing MW,https://digitalinasia.com/tiktok-shop-shopee-gmv-tracker/,MEDIUM,H3,tts_labeled_gmv,2025 OBSERVED TTS-labeled; 2024 comparator DERIVED; additivity to Combined unproven
G5-013,2025_position,Legacy Tokopedia,market_share_pct,year x entity x metric,2025,,percent,2024,23.0,,percentage_points,UNKNOWN,NOT COMPARABLE,Gate 3B search — keep missing,n/a,HIGH,H1,legacy_2025_share_missing,KEEP MISSING — no fabricated fill
G5-014,2025_position,Legacy Tokopedia,gmv_estimate_usd,year x entity x metric,2025,,USD,2024,12995000000,,USD,UNKNOWN,NOT COMPARABLE,Gate 3B search — keep missing,n/a,HIGH,H1,legacy_2025_gmv_missing,Do not use Combined-TTS residual
G5-015,access,Shopee,internet_user_access_share_pct,year x entity x metric,2024,41.65,percent,2025,53.22,11.57,percentage_points,OBSERVED,DIRECT,Kompas summarizing APJII 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,MEDIUM,none,access_not_gmv,APJII access is not GMV
G5-016,access,TikTok Shop Indonesia,internet_user_access_share_pct,year x entity x metric,2024,12.2,percent,2025,27.37,15.17,percentage_points,OBSERVED,CONDITIONAL,Kompas summarizing APJII 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,MEDIUM,H3,tts_access_surge,Strong attention growth; branding caveat
G5-017,access,Legacy Tokopedia,internet_user_access_share_pct,year x entity x metric,2024,9.4,percent,2025,9.57,0.17,percentage_points,OBSERVED,CONDITIONAL,Kompas summarizing APJII 2025,https://tekno.kompas.com/read/2025/08/11/10230017/6-platform-toko-online-paling-banyak-diakses-di-indonesia,MEDIUM,H1,legacy_access_flat,Against material Legacy attention comeback
G5-018,qualitative,Indonesia market,tokopedia_gmv_rationalisation_noted,year x market flag,2025,1,binary_flag,,,,,OBSERVED,CONDITIONAL,Momentum Works Low Down; Kompas quoting MW CEO,https://thelowdown.momentum.asia/new-report-southeast-asias-platform-ecommerce-reaches-us157-6b-in-2025-with-top-platforms-expanding-share-to-98-8/,HIGH,H1,against_legacy_boom,PRIMARY qualitative against H1
G5-019,structure,Combined Tokopedia + TikTok Shop,seller_center_integrated,event,2025,1,binary_flag,,,,,OBSERVED,CONDITIONAL,TikTok Newsroom Indonesia,https://newsroom.tiktok.com/in-id/tokopedia-dan-tiktok-shop-seller-center-resmi-diluncurkan,HIGH,H2,hybrid_capability,Capability is not Legacy GMV recovery
G5-020,structure,GoTo,ecommerce_service_fee_idr,year x company metric,2025,820000000000,IDR,2024,622000000000,198000000000,IDR,OBSERVED,NOT COMPARABLE,Kontan citing GoTo CFO,https://investasi.kontan.co.id/news/berapa-kontribusi-cuan-tokopedia-ke-keuangan-goto-di-2025,HIGH,H2,fee_on_combined_gmv,Fee is not platform GMV; 2024 partial year
G5-021,hypothesis,Legacy Tokopedia,h1_status,gate_conclusion,2025,UNSUPPORTED,status_label,,,,,INFERRED,NOT COMPARABLE,Gate 5 synthesis from G5-013 G5-014 G5-017 G5-018,research/hypothesis_evidence_matrix.md,MEDIUM,H1,H1_UNSUPPORTED,Involvement in Combined is not Legacy recovery
G5-022,hypothesis,Combined Tokopedia + TikTok Shop,h2_status,gate_conclusion,2025,PARTIALLY_SUPPORTED,status_label,,,,,INFERRED,CONDITIONAL,Gate 5 synthesis from G5-007 G5-010 G5-019 G5-020,research/hypothesis_evidence_matrix.md,MEDIUM,H2,H2_PARTIAL_STRUCTURE,Structure yes; dual material GMV contribution not proven
G5-023,hypothesis,TikTok Shop Indonesia,h3_status,gate_conclusion,2025,PARTIALLY_SUPPORTED,status_label,,,,,INFERRED,CONDITIONAL,Gate 5 synthesis from G5-012 G5-016 G5-008 G5-018,research/hypothesis_evidence_matrix.md,MEDIUM,H3,H3_STRONGEST_PARTIAL,Strongest of three; Combined split still UNKNOWN
G5-024,end_state,Shopee,competitive_rank_gmv_share,year x entity,2025,1,rank,,,,,INFERRED,DIRECT,Derived from OBSERVED shares G5-009 vs G5-010,research/2025_competitive_end_state.md,MEDIUM,none,shopee_rank_1,Based on published GMV-share concepts
G5-025,end_state,Combined Tokopedia + TikTok Shop,competitive_rank_gmv_share,year x entity,2025,2,rank,,,,,INFERRED,NOT COMPARABLE,Derived from OBSERVED Combined share G5-010,research/2025_competitive_end_state.md,MEDIUM,H2,combined_rank_2_not_legacy,Rank is Combined entity not Legacy Tokopedia
G5-026,unknown,Combined Tokopedia + TikTok Shop,combined_gmv_split_legacy_vs_tts,year x entity split,2025,,USD,,,,,UNKNOWN,NOT COMPARABLE,Not disclosed in free MW reproductions,n/a,HIGH,H2;H3,combined_split_unknown,Blocks full H2/H3 GMV attribution
