year,analytical_entity,source_platform,entity_type,metric,value,unit,phase,value_status,comparability,source_publisher,citation_url,confidence,notes
2020,Legacy Tokopedia,Tokopedia,standalone,gmv_estimate_usd_billion,14.0,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Youngster.id),https://youngster.id/news/gmv-e-commerce-di-indonesia-tumbuh-91/,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2024,Shopee,Shopee,standalone,gmv_estimate_usd_billion,26.0,USD_billions,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2024,Shopee,Shopee,standalone,market_share_pct,46.0,percent,phase1_historical_standalone,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
2022,TikTok Shop,TikTok Shop,standalone,market_share_pct,5.0,percent,phase1_historical_tts,OBSERVED,DIRECT,Momentum Works (via Bisnis quoting public commentary),https://teknologi.bisnis.com/read/20240207/266/1739008/tiktok-tokopedia-masuk-radar-pantauan-kppu,LOW,From processed market_position; secondary MW estimates
2023,TikTok Shop,TikTok Shop,standalone,market_share_pct,9.0,percent,phase1_historical_tts,OBSERVED,DIRECT,Momentum Works (via CNBC Indonesia),https://www.cnbcindonesia.com/tech/20240717124003-37-555364/gabung-tiktok-shop-tokopedia-masih-kalah-lawan-shopee,MEDIUM,From processed market_position; secondary MW estimates
2024,TikTok Shop,TikTok Shop,standalone,market_share_pct,11.0,percent,phase1_historical_tts,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
2025,Combined Tokopedia + TikTok Shop,Tokopedia + TikTok Shop,combined,gmv_estimate_usd_billion,21.9,USD_billions,phase3_post_break,OBSERVED,NOT COMPARABLE,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2025,Combined Tokopedia + TikTok Shop,Tokopedia + TikTok Shop,combined,market_share_pct,38.0,percent,phase3_post_break,OBSERVED,NOT COMPARABLE,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
2025,Legacy Tokopedia,Tokopedia,standalone,gmv_estimate_usd_billion,,USD_billions,phase3_post_break,UNKNOWN,NOT COMPARABLE,Gate 5.5 final search,research/final_2025_data_search.md,HIGH,KEEP MISSING — not fabricated; Combined 38% is a different entity
2025,Legacy Tokopedia,Tokopedia,standalone,market_share_pct,,percent,phase3_post_break,UNKNOWN,NOT COMPARABLE,Gate 5.5 final search,research/final_2025_data_search.md,HIGH,KEEP MISSING — not fabricated; Combined 38% is a different entity
2025,Shopee,Shopee,standalone,gmv_estimate_usd_billion,31.2,USD_billions,phase3_post_break,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; blank GMV cells stay missing upstream
2025,Shopee,Shopee,standalone,market_share_pct,54.0,percent,phase3_post_break,OBSERVED,DIRECT,Momentum Works (via Bisnis.com),https://teknologi.bisnis.com/read/20260508/266/1972413/shopee-kuasai-54-pasar-e-commerce-indonesia-transaksi-tembus-rp539-triliun,MEDIUM,From processed market_position; secondary MW estimates
